,datastreamid,datastreamname,siteid,variableid,fieldname,deviceid,methodid,comments,qualitycontrollevelid,rangemin,rangemax,annualtiming,downloaddate,bdate,edate
259,41074,NPS_RUGA2,15789,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
260,41075,NPS_SRWA2,15790,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
261,41076,NPS_SRTA2,15791,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
262,41077,NPS_SSIA2,15792,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
263,41078,NPS_SMPA2,15793,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
264,41079,NPS_TAHA2,15794,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
265,41080,NPS_TANA2,15795,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
266,41081,NPS_TEBA2,15796,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
267,41082,NPS_TKLA2,15797,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
268,41083,NPS_UPRA2,15798,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
269,41084,NPS_WIGA2,15799,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
270,41085,NPS_ASIA2,15770,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
271,41086,NPS_CREA2,15771,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
272,41087,NPS_CHMA2,15772,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
273,41088,NPS_CTUA2,15773,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
274,41089,NPS_CCLA2,15774,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
275,41090,NPS_DVLA2,15775,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
276,41091,NPS_DKLA2,15776,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
277,41092,NPS_EVCA2,15777,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
278,41093,NPS_ELLA2,15778,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
279,41094,NPS_GGLA2,15779,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
280,41095,NPS_HOWA2,15780,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
281,41096,NPS_IMYA2,15781,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
282,41097,NPS_KAUA2,15782,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
283,41098,NPS_KLIA2,15783,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
284,41099,NPS_KUGA2,15784,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
285,41100,NPS_MITA2,15785,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
286,41101,NPS_MNOA2,15786,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
287,41102,NPS_PAMA2,15787,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
288,41103,NPS_RAMA2,15788,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
289,41104,NPS_RUGA2,15789,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
290,41105,NPS_SRWA2,15790,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
291,41106,NPS_SRTA2,15791,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
292,41107,NPS_SSIA2,15792,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
293,41108,NPS_SMPA2,15793,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
294,41109,NPS_TAHA2,15794,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
295,41110,NPS_TANA2,15795,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
296,41111,NPS_TEBA2,15796,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
297,41112,NPS_TKLA2,15797,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
298,41113,NPS_UPRA2,15798,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
299,41114,NPS_WIGA2,15799,1180,NPS_Min_Air_Temp,1,33,,,,,,2016-12-01,,
300,41115,NPS_ASIA2,15770,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
301,41116,NPS_CREA2,15771,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
302,41117,NPS_CHMA2,15772,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
303,41118,NPS_CTUA2,15773,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
304,41119,NPS_CCLA2,15774,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
305,41120,NPS_DVLA2,15775,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
306,41121,NPS_DKLA2,15776,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
307,41122,NPS_EVCA2,15777,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
308,41123,NPS_ELLA2,15778,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
309,41124,NPS_GGLA2,15779,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
310,41125,NPS_HOWA2,15780,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
311,41126,NPS_IMYA2,15781,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
312,41127,NPS_KAUA2,15782,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
313,41128,NPS_KLIA2,15783,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
314,41129,NPS_KUGA2,15784,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
315,41130,NPS_MITA2,15785,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
316,41131,NPS_MNOA2,15786,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
317,41132,NPS_PAMA2,15787,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
318,41133,NPS_RAMA2,15788,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
319,41134,NPS_RUGA2,15789,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
320,41135,NPS_SRWA2,15790,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
321,41136,NPS_SRTA2,15791,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
322,41137,NPS_SSIA2,15792,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
323,41138,NPS_SMPA2,15793,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
324,41139,NPS_TAHA2,15794,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
325,41140,NPS_TANA2,15795,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
326,41141,NPS_TEBA2,15796,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
327,41142,NPS_TKLA2,15797,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
328,41143,NPS_UPRA2,15798,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
329,41144,NPS_WIGA2,15799,1181,NPS_Max_Air_Temp,1,33,,,,,,2016-12-01,,
330,41145,NPS_ASIA2,15770,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
331,41146,NPS_CREA2,15771,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
332,41147,NPS_CHMA2,15772,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
333,41148,NPS_CTUA2,15773,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
334,41149,NPS_CCLA2,15774,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
335,41150,NPS_DVLA2,15775,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
336,41151,NPS_DKLA2,15776,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
337,41152,NPS_EVCA2,15777,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
338,41153,NPS_ELLA2,15778,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
339,41154,NPS_GGLA2,15779,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
340,41155,NPS_HOWA2,15780,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
341,41156,NPS_IMYA2,15781,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
342,41157,NPS_KAUA2,15782,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
343,41158,NPS_KLIA2,15783,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
344,41159,NPS_KUGA2,15784,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
345,41160,NPS_MITA2,15785,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
346,41161,NPS_MNOA2,15786,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
347,41162,NPS_PAMA2,15787,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
348,41163,NPS_RAMA2,15788,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
349,41164,NPS_RUGA2,15789,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
350,41165,NPS_SRWA2,15790,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
351,41166,NPS_SRTA2,15791,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
352,41167,NPS_SSIA2,15792,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
353,41168,NPS_SMPA2,15793,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
354,41169,NPS_TAHA2,15794,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
355,41170,NPS_TANA2,15795,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
356,41171,NPS_TEBA2,15796,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
357,41172,NPS_TKLA2,15797,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
358,41173,NPS_UPRA2,15798,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
359,41174,NPS_WIGA2,15799,1182,NPS_Soil_Temp,1,33,,,,,,2016-12-01,,
