69	"UAF-WERC-NSL_WaterChem:  L9312- B, 4/17/2006 0930	"
70	"UAF-WERC-NSL_WaterChem: L9312-MP (B-SH), 4/17/2006 1515	"
71	"UAF-WERC-NSL_WaterChem: L9312-A, 4/17/2006 1120	"
72	"UAF-WERC-NSL_WaterChem: L9312-SEW4, 4/17/2006 1629	"
73	"UAF-WERC-NSL_WaterChem: L9817-1, 4/18/2006 1156	"
74	"UAF-WERC-NSL_WaterChem: L9817-2, 4/18/2006 1337	"
75	"UAF-WERC-NSL_WaterChem: L9817-3, 4/18/2006 1420	"
76	"UAF-WERC-NSL_WaterChem: L9817-4, 4/18/2006 1455	"
77	"UAF-WERC-NSL_WaterChem: L9817-20,4/18/2006 1525	"
78	"UAF-WERC-NSL_WaterChem: L9817-22	, 4/18/2006 1600	"
79	"UAF-WERC-NSL_WaterChem: MSB-NC-CT, 4/14/2006 1353	"
80	"UAF-WERC-NSL_WaterChem: MSB-NC-NE2, 4/14/2006 1956	"
81	"UAF-WERC-NSL_WaterChem: MSBS-CT, 4/14/2006 1628	"
82	UAF-WERC-NSL_WaterChem: MSB-SC-SJ, 4/16/2006 1422
83	"UAF-WERC-NSL_WaterChem: MSB-SC-SW, 4/14/2006 1814	"
84	"UAF-WERC-NSL_WaterChem: KDA1-CT, 5/21/2006 1509	"
85	"UAF-WERC-NSL_WaterChem: KDA2-CT, 5/21/2006 1250	"
86	"UAF-WERC-NSL_WaterChem: KDA3-CT, 5/21/2006 1708	"
87	"UAF-WERC-NSL_WaterChem: KDA2-SS, 5/21/2006 1946	"
88	"UAF-WERC-NSL_WaterChem: MSB-NC-CT, 5/22/2006 1410	"
89	"UAF-WERC-NSL_WaterChem: MSB-SC-CT, 5/22/2006 0000	"
90	"UAF-WERC-NSL_WaterChem: KDA1-CT, 11/14/2006  1543	"
91	"UAF-WERC-NSL_WaterChem: KDA2-CT, 11/14/2006  1329	"
92	"UAF-WERC-NSL_WaterChem: KDA3-CT, 11/14/2006 1830	"
93	"UAF-WERC-NSL_WaterChem: L9312 Raft ""A"", 11/18/2006 1312	"
94	"UAF-WERC-NSL_WaterChem: L9312 Raft ""B"", 11/18/2006 1130	"
95	"UAF-WERC-NSL_WaterChem: L9312 AB Midpt, 11/18/2006 1522	"
96	"UAF-WERC-NSL_WaterChem: L9312 Screen, 11/18/2006 1630	"
97	"UAF-WERC-NSL_WaterChem: L9312 SH, 11/18/2006 1735	"
98	"UAF-WERC-NSL_WaterChem: MSBN-CT, 11/15/2006 1311	"
99	"UAF-WERC-NSL_WaterChem: MSBS-CT, 11/15/2006 1520	"
100	"UAF-WERC-NSL_WaterChem: MSBS-SJ, 11/15/2006 1713	"
101	"UAF-WERC-NSL_WaterChem: MSBS-SW, 11/19/2006 1510	"
102	"UAF-WERC-NSL_WaterChem: KDA1-CT, 12/15/2006 1312	"
103	"UAF-WERC-NSL_WaterChem: KDA2-CT, 12/15/2006 1106	"
104	"UAF-WERC-NSL_WaterChem: KDA3-CT, 12/15/2006 1600	"
105	"UAF-WERC-NSL_WaterChem: L9312-B, 12/19/2006 0920	"
106	"UAF-WERC-NSL_WaterChem: L9312-A, 12/19/2006 1330	"
107	"UAF-WERC-NSL_WaterChem: L9312-Screen, 12/19/2006 1330	"
108	"UAF-WERC-NSL_WaterChem: L9312-SH-shore Mid, 12/15/2006 1539	"
109	"UAF-WERC-NSL_WaterChem: L9312-SH, 12/19/2006 1447	"
110	"UAF-WERC-NSL_WaterChem: MSBN-CT, 12/16/2006 1235	"
111	"UAF-WERC-NSL_WaterChem: MSBS-CT, 12/16/2006 1440	"
112	"UAF-WERC-NSL_WaterChem: MSBS-SW, 12/16/2006 1635	"
113	"UAF-WERC-NSL_WaterChem: MSBS-W, 12/16/2006 1508	"
114	"UAF-WERC-NSL_WaterChem: MSBS-SJ, 12/16/2006 1750	"
115	"UAF-WERC-NSL_WaterChem: Alpine WTP, 1/12/2007 2000	"
116	"UAF-WERC-NSL_WaterChem: Big Lake TR, 1/14/2007 1730	"
117	"UAF-WERC-NSL_WaterChem: Big Lake Res, 1/14/2007 1805	"
118	"UAF-WERC-NSL_WaterChem: K113-CT, 1/14/2007 1130	"
119	"UAF-WERC-NSL_WaterChem: KDA1-CT, 1/5/2007 1510	"
120	"UAF-WERC-NSL_WaterChem: KDA2-CT, 1/5/2007 1320	"
121	"UAF-WERC-NSL_WaterChem: KDA2-T1, 1/5/2007 1803	"
122	"UAF-WERC-NSL_WaterChem: KDA3-CT, 1/5/2007 1055	"
123	"UAF-WERC-NSL_WaterChem: KDA3-SH, 1/7/2007 1709	"
124	"UAF-WERC-NSL_WaterChem: L9312 Raft B, 1/9/2007 1007	"
125	"UAF-WERC-NSL_WaterChem: L9312 Raft A, 1/9/2007 1524	"
126	"UAF-WERC-NSL_WaterChem: L9312-Screen, 1/9/2007 1405	"
127	"UAF-WERC-NSL_WaterChem: L9312-SH, 1/9/2007 1600	"
128	"UAF-WERC-NSL_WaterChem: L9817-1, 1/10/2007 1200	"
129	"UAF-WERC-NSL_WaterChem: L9817-2, 1/10/2007 1400	"
130	"UAF-WERC-NSL_WaterChem: L9817-3, 1/10/2007 1330	"
131	"UAF-WERC-NSL_WaterChem: L9817-4, 1/10/2007 1407	"
132	"UAF-WERC-NSL_WaterChem: L9817-20, 1/10/2007 1200	"
133	"UAF-WERC-NSL_WaterChem: L9817-21, 1/10/2007 1451	"
134	"UAF-WERC-NSL_WaterChem: MSBN-CT, 1/6/2007 1305	"
135	"UAF-WERC-NSL_WaterChem: MSBS-CT, 1/6/2007 1540	"
136	"UAF-WERC-NSL_WaterChem: MSBN-NE, 1/7/2007 1441	"
137	"UAF-WERC-NSL_WaterChem: MSBS-SW, 1/7/2007 1331	"
138	"UAF-WERC-NSL_WaterChem: MSBS-W, 1/7/2007 1240	"
139	"UAF-WERC-NSL_WaterChem:  KDA1-CT, 2/13/2007 1329	"
140	"UAF-WERC-NSL_WaterChem:  KDA2-CT, 2/13/2007 1130	"
141	"UAF-WERC-NSL_WaterChem:  KDA3-CT, 2/13/2007 1605	"
142	"UAF-WERC-NSL_WaterChem:  L9312 Raft B, 2/16/2007 1100	"
143	"UAF-WERC-NSL_WaterChem:  L9312 Raft A, 2/16/2007 1400	"
144	"UAF-WERC-NSL_WaterChem:  L9312 AB Midpoint, 2/16/2007 1700	"
145	"UAF-WERC-NSL_WaterChem: Alpine WTP, 2/17/2007 1800	"
146	"UAF-WERC-NSL_WaterChem: MSBN-CT, 2/14/2007 1330	"
147	"UAF-WERC-NSL_WaterChem: MSBS-CT, 2/14/2007 1510	"
148	"UAF-WERC-NSL_WaterChem:  MSBS-SW, 2/14/2007 1647	"
149	"UAF-WERC-NSL_WaterChem: MSBS-W, 2/14/2007 1645	"
150	"UAF-WERC-NSL_WaterChem: KDA2 - CT, 3/15/2007 1138	"
151	"UAF-WERC-NSL_WaterChem: KDA3-CT, 3/15/2007 1325	"
152	"UAF-WERC-NSL_WaterChem: L9312 Raft B, 3/16/2007 1101	"
153	"UAF-WERC-NSL_WaterChem: L9312 Raft A, 3/16/2007 1255	"
154	"UAF-WERC-NSL_WaterChem: L9312 AB Midpoint, 3/16/2007 1412	"
155	"UAF-WERC-NSL_WaterChem: L9312 Screen, 3/16/2007 1530	"
156	"UAF-WERC-NSL_WaterChem: L9312 SH, 3/16/2007 1545	"
157	"UAF-WERC-NSL_WaterChem: L9817-1, 3/17/2007 1300	"
158	"UAF-WERC-NSL_WaterChem: L9817 - 2, 3/17/2007 1510	"
159	"UAF-WERC-NSL_WaterChem: L9817 - 3, 3/17/2007 1430	"
160	"UAF-WERC-NSL_WaterChem: L9817 - 4, 3/17/2007 1355	"
161	"UAF-WERC-NSL_WaterChem: L9817 - 20, 3/17/2007 1205	"
162	"UAF-WERC-NSL_WaterChem: L9817 - 22, 3/17/2007 1530	"
163	"UAF-WERC-NSL_WaterChem: L9817 - 23, 3/17/2007 1600	"
164	"UAF-WERC-NSL_WaterChem: MSBN-CT, 3/18/2007 1416	"
165	"UAF-WERC-NSL_WaterChem: MSBS-CT, 3/18/2007 1646	"
166	"UAF-WERC-NSL_WaterChem: MSBS-SW, 3/18/2007 1820	"
167	"UAF-WERC-NSL_WaterChem: KDA1-CT, 4/13/2007 1223	"
168	"UAF-WERC-NSL_WaterChem: KDA2 - CT, 4/13/2007 1026	"
169	"UAF-WERC-NSL_WaterChem: KDA3-CT, 4/13/2007 1518	"
170	"UAF-WERC-NSL_WaterChem: KDA3-SH, 4/13/2007 1657	"
171	"UAF-WERC-NSL_WaterChem:  KDA2-SH, 4/13/2007 1818	"
172	"UAF-WERC-NSL_WaterChem:  L9312 raft ""A"", 4/16/2007 1321	"
173	"UAF-WERC-NSL_WaterChem: L9312 raft ""B"", 4/16/2007 1123	"
174	"UAF-WERC-NSL_WaterChem: L9312-Mid, 4/16/2007 1519	"
175	"UAF-WERC-NSL_WaterChem: L9817-1, 4/17/2007 1109	"
176	"UAF-WERC-NSL_WaterChem: L9817-2, 4/17/2007 1200	"
177	"UAF-WERC-NSL_WaterChem: L9817-3, 4/17/2007 1300	"
178	"UAF-WERC-NSL_WaterChem: L9817-4, 4/17/2007 1345	"
179	"UAF-WERC-NSL_WaterChem: L9817-21, 4/17/2007 1422	"
180	"UAF-WERC-NSL_WaterChem: L9817-22, 4/17/2007 1402	"
181	"UAF-WERC-NSL_WaterChem: L9817-23, 4/14/2007 1255	"
182	"UAF-WERC-NSL_WaterChem: MSBN-CT  (pg 1 of 2), 4/14/2007 1130	"
183	"UAF-WERC-NSL_WaterChem: MSBS-CT  (pg 1 of 2), 4/14/2007 1353	"
296	"UAF-WERC-NSL_WaterChem: MSBS-SW, 4/14/2007 1545	"
297	"UAF-WERC-NSL_WaterChem: KDA1-CT, 5/8/2007 1525	"
298	"UAF-WERC-NSL_WaterChem:  KDA1-SH, 5/8/2007 1433	"
299	"UAF-WERC-NSL_WaterChem:  KDA2-CT, 5/8/2007 1303	"
300	"UAF-WERC-NSL_WaterChem:  KDA3-CT, 5/8/2007 1639	"
301	"UAF-WERC-NSL_WaterChem:  L9312 Raft A, 5/13/2007 1155	"
302	"UAF-WERC-NSL_WaterChem:  L9312 Raft B, 5/13/2007 1018	"
303	"UAF-WERC-NSL_WaterChem:  L9312 AB Midpoint, 5/13/2007 1348	"
304	"UAF-WERC-NSL_WaterChem: L9312 Screen, 5/13/2007 1500	"
305	"UAF-WERC-NSL_WaterChem: L9312 SH, 5/13/2007 1604	"
306	"UAF-WERC-NSL_WaterChem: L9817-1, 5/15/2007 1200	"
307	"UAF-WERC-NSL_WaterChem: L9817 - 2, 5/15/2007 1305	"
